Command: /home/users7/kg867678/526LSP21/Lab7/./simv -l lab7_1.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Apr 11 23:08 2021
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                   0 DATA =  30, ADDR =  0, OE = 0, WS = 0, CS = 0
                  10 DATA =   z, ADDR =  0, OE = 0, WS = 0, CS = 1
                  20 DATA =  31, ADDR =  0, OE = 0, WS = 0, CS = 0
                  28 DATA =  31, ADDR =  0, OE = 0, WS = 1, CS = 0
                  32 DATA =  31, ADDR =  0, OE = 0, WS = 0, CS = 0
                  40 DATA =  31, ADDR =  0, OE = 1, WS = 0, CS = 0
                  44 DATA =  32, ADDR =  1, OE = 0, WS = 0, CS = 0
                  52 DATA =  32, ADDR =  1, OE = 0, WS = 1, CS = 0
                  56 DATA =  32, ADDR =  1, OE = 0, WS = 0, CS = 0
                  64 DATA =  32, ADDR =  1, OE = 1, WS = 0, CS = 0
                  68 DATA =  33, ADDR =  2, OE = 0, WS = 0, CS = 0
                  76 DATA =  33, ADDR =  2, OE = 0, WS = 1, CS = 0
                  80 DATA =  33, ADDR =  2, OE = 0, WS = 0, CS = 0
                  88 DATA =  33, ADDR =  2, OE = 1, WS = 0, CS = 0
                  92 DATA =  34, ADDR =  3, OE = 0, WS = 0, CS = 0
                 100 DATA =  34, ADDR =  3, OE = 0, WS = 1, CS = 0
                 104 DATA =  34, ADDR =  3, OE = 0, WS = 0, CS = 0
                 112 DATA =  34, ADDR =  3, OE = 1, WS = 0, CS = 0
                 116 DATA =  35, ADDR =  4, OE = 0, WS = 0, CS = 0
                 124 DATA =  35, ADDR =  4, OE = 0, WS = 1, CS = 0
                 128 DATA =  35, ADDR =  4, OE = 0, WS = 0, CS = 0
                 136 DATA =  35, ADDR =  4, OE = 1, WS = 0, CS = 0
                 140 DATA =  36, ADDR =  5, OE = 0, WS = 0, CS = 0
                 148 DATA =  36, ADDR =  5, OE = 0, WS = 1, CS = 0
                 152 DATA =  36, ADDR =  5, OE = 0, WS = 0, CS = 0
                 160 DATA =  36, ADDR =  5, OE = 1, WS = 0, CS = 0
                 164 DATA =  37, ADDR =  6, OE = 0, WS = 0, CS = 0
                 172 DATA =  37, ADDR =  6, OE = 0, WS = 1, CS = 0
                 176 DATA =  37, ADDR =  6, OE = 0, WS = 0, CS = 0
                 184 DATA =  37, ADDR =  6, OE = 1, WS = 0, CS = 0
                 188 DATA =  38, ADDR =  7, OE = 0, WS = 0, CS = 0
                 196 DATA =  38, ADDR =  7, OE = 0, WS = 1, CS = 0
                 200 DATA =  38, ADDR =  7, OE = 0, WS = 0, CS = 0
                 208 DATA =  38, ADDR =  7, OE = 1, WS = 0, CS = 0
                 212 DATA =  39, ADDR =  8, OE = 0, WS = 0, CS = 0
                 220 DATA =  39, ADDR =  8, OE = 0, WS = 1, CS = 0
                 224 DATA =  39, ADDR =  8, OE = 0, WS = 0, CS = 0
                 232 DATA =  39, ADDR =  8, OE = 1, WS = 0, CS = 0
                 236 DATA =  40, ADDR =  9, OE = 0, WS = 0, CS = 0
                 244 DATA =  40, ADDR =  9, OE = 0, WS = 1, CS = 0
                 248 DATA =  40, ADDR =  9, OE = 0, WS = 0, CS = 0
                 256 DATA =  40, ADDR =  9, OE = 1, WS = 0, CS = 0
                 260 DATA =  41, ADDR = 10, OE = 0, WS = 0, CS = 0
                 268 DATA =  41, ADDR = 10, OE = 0, WS = 1, CS = 0
                 272 DATA =  41, ADDR = 10, OE = 0, WS = 0, CS = 0
                 280 DATA =  41, ADDR = 10, OE = 1, WS = 0, CS = 0
                 284 DATA =  42, ADDR = 11, OE = 0, WS = 0, CS = 0
                 292 DATA =  42, ADDR = 11, OE = 0, WS = 1, CS = 0
                 296 DATA =  42, ADDR = 11, OE = 0, WS = 0, CS = 0
                 304 DATA =  42, ADDR = 11, OE = 1, WS = 0, CS = 0
                 308 DATA =  43, ADDR = 12, OE = 0, WS = 0, CS = 0
                 316 DATA =  43, ADDR = 12, OE = 0, WS = 1, CS = 0
                 320 DATA =  43, ADDR = 12, OE = 0, WS = 0, CS = 0
                 328 DATA =  43, ADDR = 12, OE = 1, WS = 0, CS = 0
                 332 DATA =  44, ADDR = 13, OE = 0, WS = 0, CS = 0
                 340 DATA =  44, ADDR = 13, OE = 0, WS = 1, CS = 0
                 344 DATA =  44, ADDR = 13, OE = 0, WS = 0, CS = 0
                 352 DATA =  44, ADDR = 13, OE = 1, WS = 0, CS = 0
                 356 DATA =  45, ADDR = 14, OE = 0, WS = 0, CS = 0
                 364 DATA =  45, ADDR = 14, OE = 0, WS = 1, CS = 0
                 368 DATA =  45, ADDR = 14, OE = 0, WS = 0, CS = 0
                 376 DATA =  45, ADDR = 14, OE = 1, WS = 0, CS = 0
                 380 DATA =  46, ADDR = 15, OE = 0, WS = 0, CS = 0
                 388 DATA =  46, ADDR = 15, OE = 0, WS = 1, CS = 0
                 392 DATA =  46, ADDR = 15, OE = 0, WS = 0, CS = 0
                 400 DATA =  46, ADDR = 15, OE = 1, WS = 0, CS = 0
                 404 DATA =  47, ADDR = 16, OE = 0, WS = 0, CS = 0
                 412 DATA =  47, ADDR = 16, OE = 0, WS = 1, CS = 0
                 416 DATA =  47, ADDR = 16, OE = 0, WS = 0, CS = 0
                 424 DATA =  47, ADDR = 16, OE = 1, WS = 0, CS = 0
                 428 DATA =  48, ADDR = 17, OE = 0, WS = 0, CS = 0
                 436 DATA =  48, ADDR = 17, OE = 0, WS = 1, CS = 0
                 440 DATA =  48, ADDR = 17, OE = 0, WS = 0, CS = 0
                 448 DATA =  48, ADDR = 17, OE = 1, WS = 0, CS = 0
                 452 DATA =  49, ADDR = 18, OE = 0, WS = 0, CS = 0
                 460 DATA =  49, ADDR = 18, OE = 0, WS = 1, CS = 0
                 464 DATA =  49, ADDR = 18, OE = 0, WS = 0, CS = 0
                 472 DATA =  49, ADDR = 18, OE = 1, WS = 0, CS = 0
                 476 DATA =  50, ADDR = 19, OE = 0, WS = 0, CS = 0
                 484 DATA =  50, ADDR = 19, OE = 0, WS = 1, CS = 0
                 488 DATA =  50, ADDR = 19, OE = 0, WS = 0, CS = 0
                 496 DATA =  50, ADDR = 19, OE = 1, WS = 0, CS = 0
                 500 DATA =  51, ADDR = 20, OE = 0, WS = 0, CS = 0
                 508 DATA =  51, ADDR = 20, OE = 0, WS = 1, CS = 0
                 512 DATA =  51, ADDR = 20, OE = 0, WS = 0, CS = 0
                 520 DATA =  51, ADDR = 20, OE = 1, WS = 0, CS = 0
                 524 DATA =  52, ADDR = 21, OE = 0, WS = 0, CS = 0
                 532 DATA =  52, ADDR = 21, OE = 0, WS = 1, CS = 0
                 536 DATA =  52, ADDR = 21, OE = 0, WS = 0, CS = 0
                 544 DATA =  52, ADDR = 21, OE = 1, WS = 0, CS = 0
                 548 DATA =  53, ADDR = 22, OE = 0, WS = 0, CS = 0
                 556 DATA =  53, ADDR = 22, OE = 0, WS = 1, CS = 0
                 560 DATA =  53, ADDR = 22, OE = 0, WS = 0, CS = 0
                 568 DATA =  53, ADDR = 22, OE = 1, WS = 0, CS = 0
                 572 DATA =  54, ADDR = 23, OE = 0, WS = 0, CS = 0
                 580 DATA =  54, ADDR = 23, OE = 0, WS = 1, CS = 0
                 584 DATA =  54, ADDR = 23, OE = 0, WS = 0, CS = 0
                 592 DATA =  54, ADDR = 23, OE = 1, WS = 0, CS = 0
                 596 DATA =  55, ADDR = 24, OE = 0, WS = 0, CS = 0
                 604 DATA =  55, ADDR = 24, OE = 0, WS = 1, CS = 0
                 608 DATA =  55, ADDR = 24, OE = 0, WS = 0, CS = 0
                 616 DATA =  55, ADDR = 24, OE = 1, WS = 0, CS = 0
                 620 DATA =  56, ADDR = 25, OE = 0, WS = 0, CS = 0
                 628 DATA =  56, ADDR = 25, OE = 0, WS = 1, CS = 0
                 632 DATA =  56, ADDR = 25, OE = 0, WS = 0, CS = 0
                 640 DATA =  56, ADDR = 25, OE = 1, WS = 0, CS = 0
                 644 DATA =  57, ADDR = 26, OE = 0, WS = 0, CS = 0
                 652 DATA =  57, ADDR = 26, OE = 0, WS = 1, CS = 0
                 656 DATA =  57, ADDR = 26, OE = 0, WS = 0, CS = 0
                 664 DATA =  57, ADDR = 26, OE = 1, WS = 0, CS = 0
                 668 DATA =  58, ADDR = 27, OE = 0, WS = 0, CS = 0
                 676 DATA =  58, ADDR = 27, OE = 0, WS = 1, CS = 0
                 680 DATA =  58, ADDR = 27, OE = 0, WS = 0, CS = 0
                 688 DATA =  58, ADDR = 27, OE = 1, WS = 0, CS = 0
                 692 DATA =  59, ADDR = 28, OE = 0, WS = 0, CS = 0
                 700 DATA =  59, ADDR = 28, OE = 0, WS = 1, CS = 0
                 704 DATA =  59, ADDR = 28, OE = 0, WS = 0, CS = 0
                 712 DATA =  59, ADDR = 28, OE = 1, WS = 0, CS = 0
                 716 DATA =  60, ADDR = 29, OE = 0, WS = 0, CS = 0
                 724 DATA =  60, ADDR = 29, OE = 0, WS = 1, CS = 0
                 728 DATA =  60, ADDR = 29, OE = 0, WS = 0, CS = 0
                 736 DATA =  60, ADDR = 29, OE = 1, WS = 0, CS = 0
