Command: /home/users7/kg867678/527LSP22/Lab10/./simv -l log10.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May 15 23:27 2022
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
Writing data..................................
Clk = 0, re_wr = 0, rst_n = 0, data =   1,  full = 0, empty = 0, data_out =   x                   0
Clk = 1, re_wr = 1, rst_n = 1, data =   1,  full = 0, empty = 0, data_out =   x                  50
Clk = 0, re_wr = 1, rst_n = 1, data =   1,  full = 0, empty = 0, data_out =   x                 100
Clk = 1, re_wr = 1, rst_n = 1, data =   2,  full = 0, empty = 0, data_out =   x                 150
Clk = 0, re_wr = 1, rst_n = 1, data =   2,  full = 0, empty = 0, data_out =   x                 200
Clk = 1, re_wr = 1, rst_n = 1, data =   3,  full = 0, empty = 0, data_out =   x                 250
Clk = 0, re_wr = 1, rst_n = 1, data =   3,  full = 0, empty = 0, data_out =   x                 300
Clk = 1, re_wr = 1, rst_n = 1, data =   4,  full = 0, empty = 0, data_out =   x                 350
Clk = 0, re_wr = 1, rst_n = 1, data =   4,  full = 0, empty = 0, data_out =   x                 400
Clk = 1, re_wr = 1, rst_n = 1, data =   5,  full = 0, empty = 0, data_out =   x                 450
Clk = 0, re_wr = 1, rst_n = 1, data =   5,  full = 0, empty = 0, data_out =   x                 500
Clk = 1, re_wr = 1, rst_n = 1, data =   6,  full = 0, empty = 0, data_out =   x                 550
Clk = 0, re_wr = 1, rst_n = 1, data =   6,  full = 0, empty = 0, data_out =   x                 600
Clk = 1, re_wr = 1, rst_n = 1, data =   7,  full = 0, empty = 0, data_out =   x                 650
Clk = 0, re_wr = 1, rst_n = 1, data =   7,  full = 0, empty = 0, data_out =   x                 700
Clk = 1, re_wr = 1, rst_n = 1, data =   8,  full = 0, empty = 0, data_out =   x                 750
Clk = 0, re_wr = 1, rst_n = 1, data =   8,  full = 0, empty = 0, data_out =   x                 800
Clk = 1, re_wr = 1, rst_n = 1, data =   9,  full = 0, empty = 0, data_out =   x                 850
Clk = 0, re_wr = 1, rst_n = 1, data =   9,  full = 0, empty = 0, data_out =   x                 900
Clk = 1, re_wr = 1, rst_n = 1, data =  10,  full = 0, empty = 0, data_out =   x                 950
Clk = 0, re_wr = 1, rst_n = 1, data =  10,  full = 0, empty = 0, data_out =   x                1000
Clk = 1, re_wr = 1, rst_n = 1, data =  11,  full = 0, empty = 0, data_out =   x                1050
Clk = 0, re_wr = 1, rst_n = 1, data =  11,  full = 0, empty = 0, data_out =   x                1100
Clk = 1, re_wr = 1, rst_n = 1, data =  12,  full = 0, empty = 0, data_out =   x                1150
Clk = 0, re_wr = 1, rst_n = 1, data =  12,  full = 0, empty = 0, data_out =   x                1200
Clk = 1, re_wr = 1, rst_n = 1, data =  13,  full = 0, empty = 0, data_out =   x                1250
Clk = 0, re_wr = 1, rst_n = 1, data =  13,  full = 0, empty = 0, data_out =   x                1300
Clk = 1, re_wr = 1, rst_n = 1, data =  14,  full = 0, empty = 0, data_out =   x                1350
Clk = 0, re_wr = 1, rst_n = 1, data =  14,  full = 0, empty = 0, data_out =   x                1400
Clk = 1, re_wr = 1, rst_n = 1, data =  15,  full = 0, empty = 0, data_out =   x                1450
Clk = 0, re_wr = 1, rst_n = 1, data =  15,  full = 0, empty = 0, data_out =   x                1500
Clk = 1, re_wr = 1, rst_n = 1, data =  16,  full = 0, empty = 0, data_out =   x                1550
Clk = 0, re_wr = 1, rst_n = 1, data =  16,  full = 0, empty = 0, data_out =   x                1600
Clk = 1, re_wr = 1, rst_n = 1, data =  17,  full = 0, empty = 0, data_out =   x                1650
Clk = 0, re_wr = 1, rst_n = 1, data =  17,  full = 0, empty = 0, data_out =   x                1700
Clk = 1, re_wr = 1, rst_n = 1, data =  18,  full = 0, empty = 0, data_out =   x                1750
Clk = 0, re_wr = 1, rst_n = 1, data =  18,  full = 0, empty = 0, data_out =   x                1800
Clk = 1, re_wr = 1, rst_n = 1, data =  19,  full = 0, empty = 0, data_out =   x                1850
Clk = 0, re_wr = 1, rst_n = 1, data =  19,  full = 0, empty = 0, data_out =   x                1900
Clk = 1, re_wr = 1, rst_n = 1, data =  20,  full = 0, empty = 0, data_out =   x                1950
Clk = 0, re_wr = 1, rst_n = 1, data =  20,  full = 0, empty = 0, data_out =   x                2000
Clk = 1, re_wr = 1, rst_n = 1, data =  21,  full = 0, empty = 0, data_out =   x                2050
Clk = 0, re_wr = 1, rst_n = 1, data =  21,  full = 0, empty = 0, data_out =   x                2100
Clk = 1, re_wr = 1, rst_n = 1, data =  22,  full = 0, empty = 0, data_out =   x                2150
Clk = 0, re_wr = 1, rst_n = 1, data =  22,  full = 0, empty = 0, data_out =   x                2200
Clk = 1, re_wr = 1, rst_n = 1, data =  23,  full = 0, empty = 0, data_out =   x                2250
Clk = 0, re_wr = 1, rst_n = 1, data =  23,  full = 0, empty = 0, data_out =   x                2300
Clk = 1, re_wr = 1, rst_n = 1, data =  24,  full = 0, empty = 0, data_out =   x                2350
Clk = 0, re_wr = 1, rst_n = 1, data =  24,  full = 0, empty = 0, data_out =   x                2400
Clk = 1, re_wr = 1, rst_n = 1, data =  25,  full = 0, empty = 0, data_out =   x                2450
Clk = 0, re_wr = 1, rst_n = 1, data =  25,  full = 0, empty = 0, data_out =   x                2500
Clk = 1, re_wr = 1, rst_n = 1, data =  26,  full = 0, empty = 0, data_out =   x                2550
Clk = 0, re_wr = 1, rst_n = 1, data =  26,  full = 0, empty = 0, data_out =   x                2600
Clk = 1, re_wr = 1, rst_n = 1, data =  27,  full = 0, empty = 0, data_out =   x                2650
Clk = 0, re_wr = 1, rst_n = 1, data =  27,  full = 0, empty = 0, data_out =   x                2700
Clk = 1, re_wr = 1, rst_n = 1, data =  28,  full = 0, empty = 0, data_out =   x                2750
Clk = 0, re_wr = 1, rst_n = 1, data =  28,  full = 0, empty = 0, data_out =   x                2800
Clk = 1, re_wr = 1, rst_n = 1, data =  29,  full = 0, empty = 0, data_out =   x                2850
Clk = 0, re_wr = 1, rst_n = 1, data =  29,  full = 0, empty = 0, data_out =   x                2900
Clk = 1, re_wr = 1, rst_n = 1, data =  30,  full = 0, empty = 0, data_out =   x                2950
Clk = 0, re_wr = 1, rst_n = 1, data =  30,  full = 0, empty = 0, data_out =   x                3000
Clk = 1, re_wr = 1, rst_n = 1, data =  31,  full = 0, empty = 0, data_out =   x                3050
Clk = 0, re_wr = 1, rst_n = 1, data =  31,  full = 0, empty = 0, data_out =   x                3100
Clk = 1, re_wr = 1, rst_n = 1, data =  32,  full = 0, empty = 0, data_out =   x                3150
Clk = 0, re_wr = 1, rst_n = 1, data =  32,  full = 0, empty = 0, data_out =   x                3200
Clk = 1, re_wr = 1, rst_n = 1, data =  33,  full = 0, empty = 0, data_out =   x                3250
Clk = 0, re_wr = 1, rst_n = 1, data =  33,  full = 0, empty = 0, data_out =   x                3300
Clk = 1, re_wr = 1, rst_n = 1, data =  34,  full = 0, empty = 0, data_out =   x                3350
Clk = 0, re_wr = 1, rst_n = 1, data =  34,  full = 0, empty = 0, data_out =   x                3400
Clk = 1, re_wr = 1, rst_n = 1, data =  35,  full = 0, empty = 0, data_out =   x                3450
Clk = 0, re_wr = 1, rst_n = 1, data =  35,  full = 0, empty = 0, data_out =   x                3500
Clk = 1, re_wr = 1, rst_n = 1, data =  36,  full = 0, empty = 0, data_out =   x                3550
Clk = 0, re_wr = 1, rst_n = 1, data =  36,  full = 0, empty = 0, data_out =   x                3600
Clk = 1, re_wr = 1, rst_n = 1, data =  37,  full = 0, empty = 0, data_out =   x                3650
Clk = 0, re_wr = 1, rst_n = 1, data =  37,  full = 0, empty = 0, data_out =   x                3700
